part_number,spec_application,supplystatus_sort,capacitance_sort[pF],rvol,rvol_ac_list,opetemp-max,tcc,LWSize_mm_inch,size_thickness_max,tolerance,Type,caution,file_information,,
GCM32ER70J476KE19,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Powertrain/Safety for Automotive [AEC-Q200],,[n],[s],[t]
GXT32ER70J476KE13,IE|AIC|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Water repellent/ Infotainment [AEC-Q200],derating1,[n],[s],[t]
GCM32ER70J476ME16,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±20%,Powertrain/Safety for Automotive,,[n],[s],[t]
GCM32ER70J476KE16,AIC|APS|MeI,In Production,47000000,6.3,-,125,X7R,3225M/1210,2.7,±10%,Powertrain/Safety for Automotive,,[n],[s],[t]
GRJ32ER71A476ME11,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7R,3225M/1210,2.8,±20%,Resin external electrode,,[n],[s],[t]
GRJ32ER71A476KE11,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7R,3225M/1210,2.8,±10%,Resin external electrode,,[n],[s],[t]
GRM32ER71A476ME15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7R,3225M/1210,2.7,±20%,General Purpose,,[n],[s],[t]
GRM32ER71A476KE15,CE|IE|AIC|MeI|ME,In Production,47000000,10,-,125,X7R,3225M/1210,2.7,±10%,General Purpose,,[n],[s],[t]
KRM55WR7YA476MH01,CE|IE|MeI|ME,In Production,47000000,35,-,125,X7R,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
KCM55WR7YA476MH01,AIC|APS|MeI,In Production,47000000,35,-,125,X7R,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
KRM55WR71H476MH13,CE|IE|MeI|ME,In Production,47000000,50,-,125,X7R,5750M/2220,6.7,±20%,Metal Terminal General,,[n],[s],[t]
KCM55WR71H476MH13,AIC|APS|MeI,In Production,47000000,50,-,125,X7R,5750M/2220,6.7,±20%,Metal terminal/ Automotive [AEC-Q200],,[n],[s],[t]
