Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,CGA2B3X5R1V103K050BB Equiv. C1005X5R1V103K for Auto,X5R,10nF,35,2.75E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.00E-08,5.17E-09,30,0.517429,3.24E-06,7.20E-09,11781.65628
TDK,CGA2B3X5R1V103M050BB Equiv. C1005X5R1V103M for Auto,X5R,10nF,35,2.75E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.00E-08,5.17E-09,30,0.517429,3.24E-06,7.20E-09,11781.65628
TDK,CGA2B3X5R1V104K050BB Equiv. C1005X5R1V104K for Auto,X5R,100nF,35,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.00E-07,2.73E-08,30,0.273145,2.20E-05,4.88E-08,79843.29899
TDK,CGA2B3X5R1V104M050BB Equiv. C1005X5R1V104M for Auto,X5R,100nF,35,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.00E-07,2.73E-08,30,0.273145,2.20E-05,4.88E-08,79843.29899
TDK,CGA2B3X5R1V153K050BB Equiv. C1005X5R1V153K for Auto,X5R,15nF,35,2.75E-10,402,[1.5e-08 1.48417e-08 1.48185e-08 1.47459e-08 1.45739e-08 1.4452e-08 1.42421e-08 1.38869e-08 1.33715e-08 1.2639e-08 1.15409e-08 8.78725e-09 7.27579e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.50E-08,7.28E-09,30,0.485052667,4.63E-06,1.03E-08,16835.50364
TDK,CGA2B3X5R1V153M050BB Equiv. C1005X5R1V153M for Auto,X5R,15nF,35,2.75E-10,402,[1.5e-08 1.48417e-08 1.48185e-08 1.47459e-08 1.45739e-08 1.4452e-08 1.42421e-08 1.38869e-08 1.33715e-08 1.2639e-08 1.15409e-08 8.78725e-09 7.27579e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],1.50E-08,7.28E-09,30,0.485052667,4.63E-06,1.03E-08,16835.50364
TDK,CGA2B3X5R1V223K050BB Equiv. C1005X5R1V223K for Auto,X5R,22nF,35,2.75E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],2.20E-08,1.05E-08,30,0.477668182,6.72E-06,1.49E-08,24452.17793
TDK,CGA2B3X5R1V223M050BB Equiv. C1005X5R1V223M for Auto,X5R,22nF,35,2.75E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],2.20E-08,1.05E-08,30,0.477668182,6.72E-06,1.49E-08,24452.17793
TDK,CGA2B3X5R1V333K050BB Equiv. C1005X5R1V333K for Auto,X5R,33nF,35,2.75E-10,402,[3.3e-08 3.34156e-08 3.33116e-08 3.3182e-08 3.28122e-08 3.24626e-08 3.19709e-08 3.12128e-08 3.00483e-08 2.84679e-08 2.60892e-08 2.01593e-08 1.67801e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],3.30E-08,1.68E-08,30,0.508487879,1.05E-05,2.34E-08,38274.7081
TDK,CGA2B3X5R1V333M050BB Equiv. C1005X5R1V333M for Auto,X5R,33nF,35,2.75E-10,402,[3.3e-08 3.34156e-08 3.33116e-08 3.3182e-08 3.28122e-08 3.24626e-08 3.19709e-08 3.12128e-08 3.00483e-08 2.84679e-08 2.60892e-08 2.01593e-08 1.67801e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],3.30E-08,1.68E-08,30,0.508487879,1.05E-05,2.34E-08,38274.7081
TDK,CGA2B3X5R1V473K050BB Equiv. C1005X5R1V473K for Auto,X5R,47nF,35,2.75E-10,402,[4.7e-08 4.83344e-08 4.81022e-08 4.7786e-08 4.72034e-08 4.67153e-08 4.59289e-08 4.46429e-08 4.28333e-08 4.03352e-08 3.66066e-08 2.76746e-08 2.25034e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],4.70E-08,2.25E-08,30,0.478795745,1.47E-05,3.26E-08,53327.33663
